subject,session,precue,intercept,slope,baseline_data,baseline_yhat
1,1,1,0.520141665605654,8.21501491574993e-05,0.552631998838894,0.515952007998621
1,2,1,0.402453023704231,0.00012009383204479,0.42608649637154,0.396328238269947
1,1,2,0.491904851332978,8.87561175258083e-05,0.53564608547516,0.487378289339161
1,2,2,0.393905255406087,0.0001349079985029,0.408317356583341,0.387024947482439
2,1,1,0.18833823216279,0.000112053058026008,0.229797264285525,0.182623526203464
2,2,1,0.237618759158179,3.78511940428068e-05,0.250040705709629,0.235688348261996
2,1,2,0.265100222549875,3.3424866608137e-05,0.265794998809173,0.263395554352861
2,2,2,0.276194486489358,4.70410226958687e-05,0.263414450438951,0.273795394331869
3,1,1,0.293910655607313,0.000118419580516353,0.334377801718876,0.287871257000979
3,2,1,0.205930221467623,4.43087701581904e-05,0.211208651893734,0.203670474189555
3,1,2,0.31461245511295,7.98798382045373e-05,0.315222182968151,0.310538583364519
3,2,2,0.207429122057707,3.87067807417994e-09,0.156113591023719,0.207428924653125
4,1,1,0.362898071019373,4.33198054249078e-08,0.274017821503577,0.362895861709296
4,2,1,0.370698825227445,5.11727112278961e-08,0.352561225360945,0.370696215419172
4,1,2,0.348209652067741,1.45546242901189e-08,0.299969608756765,0.348208909781903
4,2,2,0.346767710344356,5.2041758048952e-05,0.36890209105802,0.34411358068386
5,1,1,0.136080265927774,4.65268959006286e-09,0.111834961331794,0.136080028640605
5,2,1,0.138687222751868,4.02415376815147e-07,0.185483892629847,0.13866669956765
5,1,2,0.139222827511325,1.25087271092729e-05,0.139171633814852,0.138584882428752
5,2,2,0.146792664551297,1.24095314185685e-07,0.145778769499613,0.146786335690273
6,1,1,0.198722605291348,9.04865454178869e-05,0.21052848967539,0.194107791475035
6,2,1,0.177829970908399,5.13612276500354e-05,0.169213672088808,0.175210548298247
6,1,2,0.171209083705353,5.99683545117745e-05,0.19694592391095,0.168150697625252
6,2,2,0.207853755344707,2.84342119037956e-05,0.189858526621216,0.206403610537613
7,1,1,0.489117955488771,0.000129782192040493,0.549625788358222,0.482499063694706
7,2,1,0.494633681628977,0.00015733392621365,0.537062502950064,0.486609651392081
7,1,2,0.480041386670868,0.000138674408250721,0.49605600669626,0.472968991850081
7,2,2,0.577225291556073,3.30349857658266e-05,0.581775434257964,0.575540507282016
8,1,1,0.178660530866987,0.000141338265696426,0.194097949208102,0.17145227931647
8,2,1,0.198236191646143,1.008542195013e-05,0.209390497857139,0.197721835126687
8,1,2,0.234455272144735,3.60072827816495e-06,0.248332457535723,0.234271635002548
8,2,2,0.212408339278439,1.23360966959894e-07,0.200157868326055,0.212402047869124
9,1,1,0.251037703696009,0.000119993276377119,0.295504254779016,0.244918046600776
9,2,1,0.286095026622346,4.81356600862644e-05,0.269133042844513,0.283640107957947
9,1,2,0.3112591841625,2.96122568856332e-05,0.322170712051488,0.309748959061332
9,2,2,0.32903901625867,3.34973089941133e-08,0.293825219266245,0.329037307895911
10,1,1,0.317447427698471,1.73537578741451e-06,0.368559080337553,0.317358923533313
10,2,1,0.341012970735602,3.15210940284965e-05,0.30341232054938,0.339405394940149
10,1,2,0.338583463039941,2.93467741348878e-08,0.328930131355346,0.338581966354461
10,2,2,0.348218342695426,1.59386215658691e-05,0.363384055501331,0.347405472995567
