subject,session,precue,amplitude,intercept,slope,phaset,freq,phaserad
1,1,1,0.022194052558471,0.410201908785526,6.01520152640798e-05,-176.580198876631,2,0
1,2,1,0.022194052558471,0.410201908785526,6.01520152640798e-05,-176.580198876631,2,0
1,1,2,0.0183628410789266,0.283602861306487,0.000101276369840707,217.022788612626,2,0
1,2,2,0.0183628410789266,0.283602861306487,0.000101276369840707,217.022788612626,2,0
2,1,1,0.00843326733182806,0.163764075993923,0.000119341725631136,227.414836614485,2,0
2,2,1,0.00843326733182806,0.163764075993923,0.000119341725631136,227.414836614485,2,0
2,1,2,0.0138595043044131,0.136496266230107,0.000130019045602331,-147.137904840861,2,0
2,2,2,0.0138595043044131,0.136496266230107,0.000130019045602331,-147.137904840861,2,0
3,1,1,0.0103595755679936,9.86913822589075e-05,9.76321445082189e-05,186.588528388423,2,0
3,2,1,0.0103595755679936,9.86913822589075e-05,9.76321445082189e-05,186.588528388423,2,0
3,1,2,0.0622341488058817,0.282359011070007,1.71585675245498e-07,237.78315661642,2,0
3,2,2,0.0622341488058817,0.282359011070007,1.71585675245498e-07,237.78315661642,2,0
4,1,1,0.0189171135988418,0.193834721744437,2.51647306196863e-05,267.651159977963,2,0
4,2,1,0.0189171135988418,0.193834721744437,2.51647306196863e-05,267.651159977963,2,0
4,1,2,0.0248071573978904,0.144420639327102,6.24617638171969e-05,86.6681991054936,2,0
4,2,2,0.0248071573978904,0.144420639327102,6.24617638171969e-05,86.6681991054936,2,0
5,1,1,0.0352526130584873,0.000503869196178083,0.000141456682132388,-449.009400403553,2,0
5,2,1,0.0352526130584873,0.000503869196178083,0.000141456682132388,-449.009400403553,2,0
5,1,2,0.0247905575358205,0.0940506878837578,0.000104255758915022,86.3898195868378,2,0
5,2,2,0.0247905575358205,0.0940506878837578,0.000104255758915022,86.3898195868378,2,0
6,1,1,0.0120701409682901,0.12223311347537,4.2454287726197e-05,155.973905918328,2,0
6,2,1,0.0120701409682901,0.12223311347537,4.2454287726197e-05,155.973905918328,2,0
6,1,2,0.0160988890258265,0.207289125532814,2.25928637056952e-09,195.683508519069,2,0
6,2,2,0.0160988890258265,0.207289125532814,2.25928637056952e-09,195.683508519069,2,0
7,1,1,0.0211883421479463,0.362946015748581,3.67650142729416e-09,-450.000404894098,2,0
7,2,1,0.0211883421479463,0.362946015748581,3.67650142729416e-09,-450.000404894098,2,0
7,1,2,0.0149473209009738,0.347775784832303,1.52933880093818e-08,-136.896513461247,2,0
7,2,2,0.0149473209009738,0.347775784832303,1.52933880093818e-08,-136.896513461247,2,0
8,1,1,0.00213431102162498,0.370743455987492,7.11896398743438e-09,-236.516511538732,2,0
8,2,1,0.00213431102162498,0.370743455987492,7.11896398743438e-09,-236.516511538732,2,0
