subject,session,precue,amplitude,intercept,slope,phaset,freq,phaserad
14,1,1,0.0103239192645238,0.189297054574183,0.000153633582002657,-257.096482727359,2,0
14,2,1,0.0103239192645238,0.189297054574183,0.000153633582002657,-257.096482727359,2,0
14,1,2,0.0215770054275192,0.462987228977932,5.22818780203517e-05,298.373738152624,2,0
14,2,2,0.0215770054275192,0.462987228977932,5.22818780203517e-05,298.373738152624,2,0
15,1,1,0.0228812722639612,0.000470361273942434,9.94334659789913e-05,-498.654437593198,2,0
15,2,1,0.0228812722639612,0.000470361273942434,9.94334659789913e-05,-498.654437593198,2,0
15,1,2,0.0325775584286139,0.167467304301481,2.73929059182489e-05,266.895308655548,2,0
15,2,2,0.0325775584286139,0.167467304301481,2.73929059182489e-05,266.895308655548,2,0
16,1,1,0.0439363545348063,0.202893787896498,1.86032550852816e-08,-115.372494098788,2,0
16,2,1,0.0439363545348063,0.202893787896498,1.86032550852816e-08,-115.372494098788,2,0
16,1,2,0.010127198571893,0.212554586605291,2.06704386854658e-08,-318.158727729177,2,0
16,2,2,0.010127198571893,0.212554586605291,2.06704386854658e-08,-318.158727729177,2,0
17,1,1,0.023588062924503,0.0721176728527913,9.53485687461201e-05,418.681811316391,2,0
17,2,1,0.023588062924503,0.0721176728527913,9.53485687461201e-05,418.681811316391,2,0
17,1,2,0.0410859930099814,0.179747700164765,5.90348961394926e-05,-35.8863403911913,2,0
17,2,2,0.0410859930099814,0.179747700164765,5.90348961394926e-05,-35.8863403911913,2,0
18,1,1,0.021708493339722,0.249671641144348,2.40273019409856e-05,-146.821346808618,2,0
18,2,1,0.021708493339722,0.249671641144348,2.40273019409856e-05,-146.821346808618,2,0
18,1,2,0.00946847494225571,0.32894445898538,5.62492601637197e-08,-398.909309521295,2,0
18,2,2,0.00946847494225571,0.32894445898538,5.62492601637197e-08,-398.909309521295,2,0
19,1,1,0.030634107694162,0.317957321300492,1.49544393913405e-08,-5.36874077178361,2,0
19,2,1,0.030634107694162,0.317957321300492,1.49544393913405e-08,-5.36874077178361,2,0
19,1,2,0.0168824966204777,0.338142509391347,5.89900826216637e-08,398.863682358539,2,0
19,2,2,0.0168824966204777,0.338142509391347,5.89900826216637e-08,398.863682358539,2,0
20,1,1,0.0209845348558055,0.31519778786266,1.67121275236272e-05,-247.559681551808,2,0
20,2,1,0.0209845348558055,0.31519778786266,1.67121275236272e-05,-247.559681551808,2,0
20,1,2,0.0088284972393915,0.320238566951259,1.4468637344456e-05,105.71859797313,2,0.664249541480396
20,2,2,0.0088284972393915,0.320238566951259,1.4468637344456e-05,105.71859797313,2,0.664249541480396
