subject,session,precue,intercept,slope,amplitude,phase
1,1,1,0.529678809798497,0.0616015554405749,0.0220333199977176,-2.49997730403265
1,2,1,0.402030469384044,0.120008302852511,0.00860416842624545,-1.39016837114468
1,1,2,0.486056928173639,0.101431061979383,0.0178893419215456,1.0097005701391
1,2,2,0.396343164145947,0.130339235067368,0.0137515738606453,2.06466741859913
2,1,1,0.186176433053333,0.115510183299193,0.0109710406177328,-1.08868296389119
2,2,1,0.244052897396614,0.0255443073692732,0.0190045290364651,2.45611215756071
2,1,2,0.285495404458288,-0.00533182022627443,0.0629200069639637,2.38022535725065
2,2,2,0.269570138771087,0.0617045611143112,0.0234183920547366,1.09907623147592
3,1,1,0.281459793448448,0.1452621165663,0.0356255169026554,0.94057105248794
3,2,1,0.206545858178288,0.043762369081378,0.0121215730905533,1.84528234880418
3,1,2,0.302002584096044,0.105339255183935,0.0249324981123209,-0.0174594367854297
3,2,2,0.233492592625851,-0.0541898541680439,0.0236012469221123,-2.49997050779797
4,1,1,0.38352444489492,-0.0430050497223107,0.0246809001980637,-2.4999888665339
4,2,1,0.379801962146303,-0.0184531981358305,0.00414059634204023,2.49993643956259
4,1,2,0.370136113837361,-0.0458519533276558,0.0134275536984205,-1.44994921982288
4,2,2,0.343879471416585,0.0589197599329054,0.0183009947650135,1.38566390494816
5,1,1,0.157589875241683,-0.0427467553818133,0.0276352529981523,2.2893504165495
5,2,1,0.138987238286063,-0.00149604631587863,0.0182189834304154,-1.39631837839261
5,1,2,0.135792806479003,0.020069204219908,0.0120761402831704,1.10787809118847
5,2,2,0.181944196502513,-0.0698386967796978,0.0508045496275145,2.46155795915342
6,1,1,0.198153253906639,0.0923839682945982,0.0148678571567871,1.64063571108272
6,2,1,0.182000078260899,0.0414005964994431,0.0230047088116407,-1.78055509924889
6,1,2,0.15859877737239,0.0849426928907633,0.02717704186216,-0.30139273032546
6,2,2,0.203108988469467,0.0381226618774235,0.0101984865032136,0.513168319012038
7,1,1,0.488253343108227,0.131302046895144,0.00276314993243432,1.15971221935069
7,2,1,0.496070442022756,0.154619789682329,0.0102544026449323,2.04425338539295
7,1,2,0.495136901736259,0.106374500319362,0.0352353802882135,-2.49999585794285
7,2,2,0.567344638518989,0.052794823423028,0.0215033683925867,-0.305126784369349
8,1,1,0.186406433582306,0.124578416347504,0.0181214734911919,-2.49999649822712
8,2,1,0.218614171782974,-0.0331018128199503,0.04673725264729,-2.49999968276825
8,1,2,0.221755531616509,0.0283975005149841,0.0327012208290398,-0.5578508018516
8,2,2,0.227809492498636,-0.0310253128409386,0.0130241066217422,2.49998219311237
9,1,1,0.260015779388787,0.100499106546607,0.021426944359014,-2.49999337600162
9,2,1,0.294955934202335,0.0291697375128024,0.0190661285130318,-2.49999046406742
9,1,2,0.297372484579682,0.0597306862473488,0.0410122880712152,0.962491841055453
9,2,2,0.336163870393648,-0.0145678324333858,0.0071975925238803,0.328378741760389
10,1,1,0.332615868508583,-0.0304686467861757,0.0348585414103582,-2.49999792788003
10,2,1,0.348674383330035,0.0167574558436172,0.0210436814113564,2.49870258436431
10,1,2,0.343924887478352,-0.0115016102790833,0.0154035314917564,-0.541870109736919
10,2,2,0.348978311179962,0.0148687731707469,0.00879851866920944,1.89453547838639
