subject,session,precue,intercept,slope,amplitude,phase,phaserad,freq,baseline_data,baseline_yhat
1,1,1,0.530261276554183,6.07764926892116e-05,0.0221464198340362,-6.93090740009644,-0.0435481755417082,2,0.552631998838894,0.52902496076049
1,2,1,0.402245612578174,0.000120004908263508,0.00842837993240672,-229.680816776696,-1.44312713331234,2,0.42608649637154,0.38902943038401
1,1,2,0.491909563171363,8.87452983964457e-05,2.44360847343822e-05,169.131748002362,1.06268611402604,2,0.53564608547516,0.487373753188893
1,2,2,0.396340171871881,0.000130686391759583,0.0138139530681144,-82.7339319920821,-0.519832625897845,2,0.408317356583341,0.402456769063518
2,1,1,0.186474499050187,0.000115266778052439,0.0108427795939751,208.647183902042,1.31096892027771,2,0.229797264285525,0.170572597944506
2,2,1,0.244091249989665,2.53648615127178e-05,0.0189098575162043,74.4459794459582,0.467757884233438,2,0.250040705709629,0.259858413375831
2,1,2,0.282766051099859,3.95469942547243e-08,0.0622441823706467,13.1624945963329,0.0827023926535098,2,0.265794998809173,0.340047934249728
2,2,2,0.269610818267095,6.17808081599813e-05,0.0234480915940957,72.534640020983,0.455748584441401,2,0.263414450438951,0.276403303375278
3,1,1,0.281774217363194,0.000144987577081267,0.0356543415220864,-98.7213796535228,-0.620284722143512,2,0.334377801718876,0.2846764859926
3,2,1,0.206859208261681,4.31248089471155e-05,0.0120547278089403,-107.918900491561,-0.678074449935551,2,0.211208651893734,0.215248528388627
3,1,2,0.302354476326171,0.0001048976603959,0.024884871606193,48.694007637314,0.305953473334462,2,0.315222182968151,0.28305403749278
3,2,2,0.207289285889093,1.14271509288928e-08,0.0161016300059588,-63.4947345836113,-0.398949183419014,2,0.156113591023719,0.209548802990802
4,1,1,0.362954785356546,7.45005934656085e-10,0.02118792474454,-87.1433142688567,-0.547537591833014,2,0.274017821503577,0.372398696435166
4,2,1,0.370744116873235,3.66415006273383e-08,0.0021669433978306,-208.239455242693,-1.30840708555597,2,0.352561225360945,0.372524490641618
4,1,2,0.347806265104749,1.55184332466123e-08,0.0149473190908991,21.757056577406,0.136703618214632,2,0.299969608756765,0.333841607130763
4,2,2,0.343960758276363,5.88877640336141e-05,0.0183193564400485,-93.8981170440844,-0.58997926938322,2,0.36890209105802,0.352720208179712
5,1,1,0.136780229560244,1.37721452159461e-08,0.0247992757695856,113.614688682223,0.713862142607927,2,0.111834961331794,0.159713557828115
5,2,1,0.138301706201041,9.01228866564461e-08,0.0180566719886998,183.441222174849,1.15259519190007,2,0.185483892629847,0.123019668511824
5,1,2,0.135884074677624,2.00013096842974e-05,0.0121397080110079,17.559986647171,0.110332650095775,2,0.139171633814852,0.140141576305456
5,2,2,0.147997196854387,2.71348442094746e-09,0.0444074613311638,-112.525551718177,-0.707018893237927,2,0.145778769499613,0.189365572469535
6,1,1,0.198303975224712,9.22556645430439e-05,0.0148565865204285,83.6657939823948,0.525687687463697,2,0.21052848967539,0.205377990826346
6,2,1,0.182331003817927,4.06934576761677e-05,0.0231408784175247,12.124064426202,0.0761777434660113,2,0.169213672088808,0.1658148515067
6,1,2,0.158959284580437,8.45004900230254e-05,0.0270765104056731,-194.850214990238,-1.22428000792745,2,0.19694592391095,0.134421342758097
6,2,2,0.203144678697208,3.83781482353967e-05,0.0103027933955741,99.0969437659077,0.622644461056353,2,0.189858526621216,0.200286031159723
7,1,1,0.488441660199173,0.000131352081499375,0.0033639027892243,-185.054913657721,-1.16273431451558,2,0.549625788358222,0.483399570591178
7,2,1,0.496392266936019,0.000154306535649265,0.0102987832642876,-198.976327613474,-1.25020513813753,2,0.537062502950064,0.49803241323251
7,1,2,0.501602853705964,9.44693468083836e-05,0.0435773864057966,-38.4664434245132,-0.241691792144356,2,0.49605600669626,0.518706551173606
7,2,2,0.567530993728631,5.24342533742686e-05,0.021507325826782,-128.879513530539,-0.809773865811537,2,0.581775434257964,0.548657618747502
8,1,1,0.188207868116566,0.000121450371239003,0.0194458649450692,98.2563197815337,0.617362664788871,2,0.194097949208102,0.187636877979971
8,2,1,0.202930866890649,1.89048547424438e-08,0.0439363021392783,-61.9622777783137,-0.389320473336081,2,0.209390497857139,0.215223602206914
8,1,2,0.222005827104997,2.79613284884951e-05,0.0326517334255408,133.38126571132,0.838059208970383,2,0.248332457535723,0.192299791306295
8,2,2,0.212603659058702,4.21151620858681e-09,0.0101215371540423,-228.620161571543,-1.43646284011134,2,0.200157868326055,0.220115411875532
9,1,1,0.262590603918301,9.60347520930429e-05,0.0237470841334597,-209.633457278983,-1.31716585866857,2,0.295504254779016,0.265704462717713
9,2,1,0.297425024268562,2.46992653919035e-05,0.0216027864804411,57.3853202054408,0.360562600762622,2,0.269133042844513,0.304686087241885
9,1,2,0.29752801977299,5.97557125427263e-05,0.0411734103903961,17.5233942445421,0.110102733249222,2,0.322170712051488,0.307223014636289
9,2,2,0.329078452513186,1.17343564631589e-08,0.00945254443891398,113.173446923914,0.711089738875205,2,0.293825219266245,0.326162557713896
10,1,1,0.317993273479386,2.44138773465546e-09,0.0306341942147626,41.7582850173916,0.262375042874292,2,0.368559080337553,0.321196226824495
10,2,1,0.348506009113313,1.6986591218283e-05,0.0209597572939979,225.252684521365,1.4153043577874,2,0.30341232054938,0.36632555137486
10,1,2,0.338288898193839,5.00852159545952e-10,0.0168696549262132,47.0083683890165,0.295362289576354,2,0.328930131355346,0.324222225039073
10,2,2,0.349091920718296,1.46692923275206e-05,0.00881266529622643,88.4419524471922,0.555697176154474,2,0.363384055501331,0.356203592051163
